stream_id,stream_name,time_parameter,binsize_minutes,stream_type,stream_content,description,parameter_id,name,unit,fill_value,display_name,standard_name,parameter_precision,parameter_function_id,parameter_function_map,data_product_identifier,description,data_level,data_product_type,parameter_type,value_encoding
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,7,time,seconds since 1900-01-01,-9999999,"Time, UTC",time,,,,,Engineering CPM Controller Status Data,,,quantity,float64
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,10,port_timestamp,seconds since 1900-01-01,-9999999,"Port Timestamp, UTC",,,,,,Engineering CPM Controller Status Data,,,quantity,float64
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,11,driver_timestamp,seconds since 1900-01-01,-9999999,"Driver Timestamp, UTC",,,,,,Engineering CPM Controller Status Data,,,quantity,float64
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,12,internal_timestamp,seconds since 1900-01-01,-9999999,"Internal Timestamp, UTC",,,,,,Engineering CPM Controller Status Data,,,quantity,float64
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,16,preferred_timestamp,1,empty,Preferred Timestamp,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,863,ingestion_timestamp,seconds since 1900-01-01,-9999,"Ingestion Timestamp, UTC",,,,,,Engineering CPM Controller Status Data,,,quantity,float64
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1659,cg_eng_platform_time,1,empty,Cg Eng Platform,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1660,cg_eng_platform_utime,s,-9999999,Cg Eng Platform Utime,,3,,,,Engineering CPM Controller Status Data,,,quantity,float64
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1661,cg_eng_msg_cnts_c_gps,counts,-9999999,Cg Eng Msg Cnts C GPS,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1662,cg_eng_msg_cnts_c_ntp,counts,-9999999,Cg Eng Msg Cnts C NTP,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1663,cg_eng_msg_cnts_c_pps,counts,-9999999,Cg Eng Msg Cnts C PPS,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1664,cg_eng_msg_cnts_c_power_sys,counts,-9999999,Cg Eng Msg Cnts C Power Sys,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1665,cg_eng_msg_cnts_c_superv,counts,-9999999,Cg Eng Msg Cnts C Superv,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
